,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,holme,56.11,10.17,12.0,87,5,4.1,DK,1592870455
300,kawalu,-7.38,108.21,22.9,92,100,0.54,ID,1592870455
301,haimen,23.19,116.61,30.0,79,20,2.0,CN,1592870455
302,parabel,58.7,81.48,12.71,98,100,2.24,RU,1592870455
303,mweka,-4.85,21.57,19.54,58,1,0.53,CD,1592870456
304,katangli,51.71,143.23,5.7,94,100,3.78,RU,1592870456
305,springbok,-29.66,17.89,9.88,46,0,1.65,ZA,1592869915
306,peoria,40.77,-89.77,24.0,83,90,5.1,US,1592870400
307,zaragoza,41.66,-0.88,21.0,60,9,3.1,ES,1592870456
308,mathathane,-22.27,28.75,10.37,67,0,2.99,BW,1592870456
309,bouna,9.27,-3.0,23.69,87,59,3.81,CI,1592870456
310,ranot,7.78,100.32,27.14,79,100,1.61,TH,1592870457
311,deputatskiy,69.3,139.9,21.45,52,29,1.69,RU,1592870457
312,palatka,29.65,-81.64,32.22,51,1,3.1,US,1592870258
313,siilinjarvi,63.08,27.67,16.0,59,5,2.1,FI,1592870457
314,ixtapa,20.7,-105.2,31.0,66,5,6.2,MX,1592870457
315,puerto colombia,10.99,-74.95,30.0,74,79,5.1,CO,1592870457
316,doha,25.29,51.53,32.0,40,5,4.1,QA,1592870456
317,biltine,14.53,20.92,29.1,27,14,3.12,TD,1592870457
318,laguna,38.42,-121.42,38.33,23,1,3.1,US,1592870457
319,carrigaline,51.81,-8.4,14.44,100,90,7.2,IE,1592870457
320,chantada,42.61,-7.77,17.78,89,12,0.45,ES,1592870457
321,celarevo,45.27,19.53,20.56,85,96,2.24,RS,1592870457
322,butterworth,5.4,100.36,25.0,100,20,1.73,MY,1592870458
323,nome,64.5,-165.41,14.0,71,1,8.7,US,1592870213
324,chilliwack,49.17,-121.94,25.0,52,15,0.89,CA,1592870373
325,floro,61.6,5.03,15.0,72,71,7.2,NO,1592870458
326,houma,29.6,-90.72,27.0,83,90,2.1,US,1592869897
327,pangai,-19.8,-174.35,27.0,88,40,2.6,TO,1592870458
328,pedernales,18.04,-71.74,28.93,64,3,3.92,DO,1592869911
329,necochea,-38.55,-58.74,8.89,92,55,3.13,AR,1592869902
330,port hedland,-20.32,118.57,15.0,62,0,3.1,AU,1592869914
331,yaan,7.38,8.57,21.93,99,100,1.89,NG,1592869893
332,kashi,39.45,75.98,24.0,15,20,6.0,CN,1592870458
333,chipinge,-20.19,32.62,9.15,73,0,1.55,ZW,1592870458
334,vila franca do campo,37.72,-25.43,19.0,93,40,4.1,PT,1592870011
335,los llanos de aridane,28.66,-17.92,22.0,68,90,5.7,ES,1592869980
336,sorland,67.67,12.69,12.24,97,16,5.32,NO,1592870459
337,trelew,-43.25,-65.31,9.25,58,41,4.99,AR,1592870337
338,praia da vitoria,38.73,-27.07,21.0,83,40,4.97,PT,1592870459
339,kirensk,57.79,108.11,21.09,55,33,2.11,RU,1592870459
340,antalaha,-14.9,50.28,21.25,82,50,2.65,MG,1592870205
341,almeirim,-1.52,-52.58,24.49,88,51,1.17,BR,1592870459
342,ngunguru,-35.62,174.5,17.22,82,77,3.58,NZ,1592870459
343,suzun,53.78,82.31,13.68,85,80,1.87,RU,1592870459
344,taganak,6.08,118.3,26.0,94,20,1.0,PH,1592870459
345,pamplona,42.82,-1.64,17.0,82,41,1.5,ES,1592870460
346,port dover,42.78,-80.2,25.0,86,98,1.94,CA,1592870460
347,sorong,-0.88,131.25,26.7,86,100,4.61,ID,1592869893
348,sinegorskiy,48.01,40.84,18.23,89,100,1.12,RU,1592870460
349,varhaug,58.61,5.65,13.0,76,85,3.1,NO,1592870460
350,egvekinot,66.32,-179.17,8.39,54,100,2.71,RU,1592870214
351,ossora,59.24,163.07,20.81,47,17,1.21,RU,1592870460
352,vanavara,60.34,102.28,21.51,56,50,1.12,RU,1592870460
353,maragogi,-9.01,-35.22,24.42,84,4,4.36,BR,1592870460
354,banda aceh,5.56,95.32,25.09,85,100,6.75,ID,1592869919
355,pyshma,56.95,63.25,6.37,87,85,2.07,RU,1592870461
356,sakakah,29.97,40.21,29.0,19,0,6.7,SA,1592870024
357,fortuna,40.6,-124.16,22.78,72,1,6.2,US,1592870461
358,wilmington,34.23,-77.94,31.0,55,1,6.7,US,1592870202
359,cherskiy,68.75,161.3,12.66,40,20,7.35,RU,1592870191
360,rancho veloz,22.88,-80.39,31.0,70,75,6.7,CU,1592870461
361,padang,-0.95,100.35,24.47,85,100,1.38,ID,1592870461
362,conceicao do araguaia,-8.26,-49.26,23.84,70,10,0.94,BR,1592870461
363,namatanai,-3.67,152.43,29.83,65,74,1.33,PG,1592869903
364,sukumo,32.93,132.73,26.97,57,0,1.06,JP,1592870462
365,fallon,39.47,-118.78,35.0,12,20,2.6,US,1592870462
366,coihaique,-45.58,-72.07,3.0,86,90,1.5,CL,1592869889
367,katherine,-14.47,132.27,20.0,32,0,5.1,AU,1592870462
368,bambous virieux,-20.34,57.76,22.0,78,75,1.5,MU,1592870462
369,rawson,-43.3,-65.1,9.79,60,44,5.45,AR,1592870343
370,pelym,61.01,62.0,8.18,67,92,0.95,RU,1592869899
371,okato,-39.2,173.88,13.33,77,0,3.13,NZ,1592870462
372,atlantic city,39.36,-74.42,27.0,57,1,4.1,US,1592870462
373,ovalle,-30.6,-71.2,15.24,62,100,1.23,CL,1592870444
374,celica,-4.12,-79.95,16.81,89,66,2.14,EC,1592870462
375,pondicherry,11.93,79.83,28.38,66,100,5.69,IN,1592870463
376,verkhoyansk,67.54,133.38,28.04,40,0,3.04,RU,1592870463
377,marawi,8.0,124.29,26.67,81,82,1.34,PH,1592869894
378,santa cruz,-17.8,-63.17,22.0,88,40,6.7,BO,1592869690
379,dungarpur,23.83,73.72,27.51,74,97,5.8,IN,1592870464
380,novobirilyussy,56.95,90.67,15.71,75,1,0.46,RU,1592870464
381,antofagasta,-23.65,-70.4,15.0,77,90,5.1,CL,1592870388
382,pyay,18.82,95.22,26.63,86,56,1.7,MM,1592870464
383,priargunsk,50.37,119.1,15.96,67,100,5.84,RU,1592870464
384,dakar,14.69,-17.44,26.0,83,40,3.1,SN,1592869743
385,san,13.3,-4.9,30.14,51,91,8.5,ML,1592869925
386,zeya,53.75,127.27,18.54,43,0,2.21,RU,1592870464
387,san vicente,-26.62,-54.13,17.29,87,0,1.56,AR,1592870406
388,cuyo,10.85,121.01,29.55,68,96,1.38,PH,1592870465
389,yinchuan,38.47,106.27,23.42,42,52,3.34,CN,1592870465
390,touho,-20.78,165.23,23.21,73,78,4.55,NC,1592870466
391,sens,48.17,3.33,12.22,83,0,1.73,FR,1592870466
392,thinadhoo,0.53,72.93,29.01,73,75,5.74,MV,1592870218
393,teya,60.38,92.63,18.63,44,48,0.37,RU,1592870466
394,aripuana,-9.17,-60.63,24.57,64,56,0.74,BR,1592869915
395,yuanping,38.72,112.76,24.01,55,96,0.17,CN,1592870466
396,pilar,-9.6,-35.96,23.0,94,20,1.5,BR,1592870466
397,buzdyak,54.58,54.55,6.3,89,9,1.74,RU,1592870467
398,hidalgotitlan,17.78,-94.63,31.0,74,5,5.1,MX,1592870468
399,tual,-5.67,132.75,26.76,82,59,9.25,ID,1592870468
400,sola,-13.88,167.55,26.86,80,99,3.65,VU,1592870468
401,saint-pierre,-21.34,55.48,19.0,77,19,1.5,RE,1592870405
402,manggar,-2.88,108.27,26.92,81,100,4.94,ID,1592869906
403,sibi,29.54,67.88,34.24,27,0,2.34,PK,1592870468
404,goderich,43.75,-81.72,26.67,63,80,1.27,CA,1592870464
405,san patricio,19.22,-104.7,31.0,70,40,4.1,MX,1592870191
406,poum,-20.23,164.02,23.43,75,90,4.06,NC,1592870468
407,nemuro,43.32,145.57,15.0,93,75,1.5,JP,1592870469
408,clovis,36.83,-119.7,38.33,19,20,4.1,US,1592870462
409,awbari,26.59,12.78,23.37,21,0,0.97,LY,1592870469
410,diego de almagro,-26.37,-70.05,9.07,81,0,0.36,CL,1592870469
411,harper,4.38,-7.72,25.32,84,100,5.32,LR,1592870038
412,holoby,51.09,25.01,18.89,98,99,1.34,UA,1592870469
413,staraya toropa,56.28,31.67,12.19,89,13,1.63,RU,1592870469
414,rosetta,31.4,30.42,22.0,83,0,2.1,EG,1592870470
415,urubicha,-15.38,-62.95,25.37,48,90,1.49,BO,1592870470
416,salinopolis,-0.61,-47.36,26.19,85,64,4.32,BR,1592870470
417,ahipara,-35.17,173.17,17.24,76,7,5.43,NZ,1592870470
418,danshui,22.8,114.47,31.11,100,97,2.17,CN,1592870470
419,puerto escondido,15.85,-97.07,32.0,66,40,2.17,MX,1592870470
420,kibaya,-5.3,36.57,12.64,97,2,2.02,TZ,1592870470
421,jumla,29.27,82.18,16.54,69,94,0.28,NP,1592870048
422,kaoma,-14.78,24.8,10.23,63,0,2.76,ZM,1592870470
423,zhangye,38.93,100.45,22.48,32,0,3.64,CN,1592870470
424,matagami,49.75,-77.63,27.0,51,90,5.1,CA,1592869908
425,loni,28.75,77.28,33.33,74,0,2.6,IN,1592870471
426,bria,6.54,21.99,20.94,91,96,0.82,CF,1592870471
427,cap malheureux,-19.98,57.61,19.44,85,0,1.34,MU,1592870471
428,shevchenkove,49.7,37.17,19.0,82,96,2.0,UA,1592870471
429,inuvik,68.35,-133.72,20.0,42,90,2.6,CA,1592869697
430,the pas,53.83,-101.25,22.0,43,40,1.5,CA,1592870471
431,namibe,-15.2,12.15,20.71,76,0,3.43,AO,1592870471
432,mehamn,71.04,27.85,4.25,79,70,2.27,NO,1592870471
433,saint anthony,45.02,-93.22,23.33,43,90,4.1,US,1592870471
434,itacarambi,-15.1,-44.09,22.71,56,34,2.04,BR,1592870471
435,bukachacha,52.98,116.92,15.67,65,92,1.86,RU,1592870471
436,kupino,54.37,77.3,14.81,86,100,4.62,RU,1592870472
437,lagoa,39.05,-27.98,19.47,91,45,9.46,PT,1592870024
438,kabala,9.58,-11.55,21.67,98,82,1.8,SL,1592870473
439,gladstone,-23.85,151.25,18.0,42,0,2.6,AU,1592870473
440,moche,-8.17,-79.01,17.92,83,41,3.87,PE,1592869915
441,belyy yar,53.6,91.39,12.0,87,75,2.0,RU,1592870272
442,vagur,61.47,-6.81,10.1,83,100,8.99,FO,1592870473
443,rio grande,-32.03,-52.1,16.11,95,99,2.24,BR,1592870365
444,klaksvik,62.23,-6.59,9.0,93,100,5.7,FO,1592870473
445,vila velha,-20.33,-40.29,20.56,94,0,2.1,BR,1592870432
446,lata,40.16,-8.33,18.33,92,0,0.92,PT,1592869905
447,turbat,26.0,63.04,26.77,82,11,0.64,PK,1592870473
448,corrente,-3.74,-43.34,23.27,73,1,1.0,BR,1592870473
449,nador,35.17,-2.93,23.0,78,19,2.1,MA,1592870473
450,saint-francois,46.42,3.91,14.0,71,5,0.67,FR,1592869883
451,caarapo,-22.63,-54.82,19.64,68,0,2.91,BR,1592870475
452,olonets,60.98,32.97,8.21,54,0,0.76,RU,1592870475
453,mackenzie,55.3,-123.17,13.0,76,90,5.7,CA,1592870475
454,recco,44.36,9.14,22.22,73,0,0.5,IT,1592870475
455,panaba,21.28,-88.27,28.67,78,72,3.83,MX,1592870475
456,santiago,-33.46,-70.65,8.0,100,90,2.1,CL,1592870419
457,kranuan,16.71,103.08,25.0,88,20,3.67,TH,1592870308
458,gunnaur,28.25,78.43,31.42,56,54,5.17,IN,1592870475
459,pathein,16.78,94.73,27.05,88,3,0.97,MM,1592870422
460,cairo,30.06,31.25,25.0,57,0,4.1,EG,1592870431
461,wuwei,37.93,102.64,19.44,56,74,1.62,CN,1592870476
462,high level,58.52,-117.14,24.0,27,75,4.6,CA,1592870476
463,carutapera,-1.2,-46.02,24.18,90,52,2.82,BR,1592870476
464,quixeramobim,-5.2,-39.29,23.22,71,33,1.2,BR,1592870475
465,constitucion,-35.33,-72.42,10.53,88,74,2.25,CL,1592870476
466,avanigadda,16.02,80.92,27.83,75,64,3.96,IN,1592870476
467,clyde river,70.47,-68.59,5.0,93,90,4.6,CA,1592870476
468,sidi ali,36.1,0.42,25.63,41,0,4.24,DZ,1592870476
469,orebro,59.27,15.21,13.89,93,99,2.6,SE,1592870476
470,gorey,52.67,-6.29,14.44,94,100,1.34,IE,1592870477
471,snezhnogorsk,69.19,33.25,5.0,80,75,3.0,RU,1592870477
472,lensk,60.73,114.93,20.78,50,12,2.07,RU,1592870477
473,lucapa,-8.42,20.74,15.11,34,0,1.68,AO,1592870477
474,lotofaga,-13.98,-171.86,31.67,75,11,2.24,WS,1592870477
475,halifax,44.65,-63.57,20.0,81,74,1.31,CA,1592869889
476,andenes,69.31,16.12,12.0,81,14,0.5,NO,1592869921
477,santa isabel do rio negro,-0.41,-65.02,23.7,96,71,0.66,BR,1592869887
478,olafsvik,64.89,-23.71,8.95,83,100,4.49,IS,1592870477
479,lilongwe,-13.97,33.79,13.58,74,0,1.9,MW,1592870477
480,kota bahru,6.13,102.24,25.0,94,40,1.0,MY,1592870276
481,lewistown,40.6,-77.57,21.67,100,75,0.75,US,1592870477
482,igarka,67.47,86.58,12.77,66,61,7.32,RU,1592870478
483,buta,2.79,24.73,21.0,91,30,0.17,CD,1592870478
484,mount vernon,40.91,-73.84,29.0,51,20,7.2,US,1592870471
485,plettenberg bay,-34.05,23.37,15.08,47,0,1.39,ZA,1592870048
486,leh,34.17,77.58,12.13,37,0,1.18,IN,1592870478
487,manta,-0.95,-80.73,25.0,78,75,5.1,EC,1592870478
488,piracaia,-23.05,-46.36,22.0,72,23,0.87,BR,1592870469
489,kavieng,-2.57,150.8,29.34,71,56,3.86,PG,1592870478
490,husavik,66.04,-17.34,9.0,81,20,3.1,IS,1592870478
491,linhares,-19.39,-40.07,17.68,92,0,0.5,BR,1592869902
492,auki,-8.77,160.7,30.5,67,61,0.81,SB,1592870478
493,kaeo,-35.1,173.78,17.22,3,53,4.92,NZ,1592870186
494,srednekolymsk,67.45,153.68,19.73,26,0,7.38,RU,1592870478
495,sattenapalle,16.4,80.18,27.23,75,74,3.01,IN,1592870478
496,pacific grove,36.62,-121.92,21.67,68,1,6.2,US,1592870230
497,hamilton,39.18,-84.53,29.44,58,20,4.6,US,1592870347
498,lerwick,60.15,-1.15,13.0,87,98,10.3,GB,1592870480
499,tyumentsevo,53.32,81.5,13.49,84,35,3.05,RU,1592870480
500,korla,41.76,86.15,22.22,82,37,2.68,CN,1592869890
501,moyale,3.52,39.06,19.94,73,40,4.26,KE,1592870480
502,elizabeth city,36.29,-76.25,23.0,88,20,5.1,US,1592870480
503,aksaray,38.37,34.03,18.0,72,16,2.1,TR,1592870480
504,axim,4.87,-2.24,25.0,84,72,4.28,GH,1592870481
505,honningsvag,70.98,25.97,5.61,77,91,3.64,NO,1592870481
506,kangaatsiaq,68.31,-53.46,4.6,78,0,3.29,GL,1592870481
507,kavaratti,10.57,72.64,28.81,74,100,5.86,IN,1592870481
508,salym,60.06,71.48,6.23,85,17,1.48,RU,1592870481
509,half moon bay,37.46,-122.43,27.78,50,5,5.7,US,1592870481
510,west plains,36.73,-91.85,27.0,69,20,3.1,US,1592870481
511,sindor,62.86,51.89,6.77,98,5,2.79,RU,1592870481
512,woodward,36.43,-99.39,31.67,40,1,3.1,US,1592869892
513,huarmey,-10.07,-78.15,17.21,83,25,3.16,PE,1592870481
514,pinega,64.7,43.39,5.37,83,95,2.84,RU,1592870481
515,snasa,64.25,12.38,15.27,78,100,0.72,NO,1592870481
516,tezu,27.92,96.17,24.92,85,91,0.81,IN,1592870481
517,mogadishu,2.04,45.34,26.0,84,52,7.68,SO,1592870192
518,tairua,-37.02,175.85,16.11,75,46,4.47,NZ,1592869896
519,hofn,64.25,-15.21,8.08,84,92,1.79,IS,1592870482
520,praya,14.92,-23.51,26.0,74,0,7.2,CV,1592870443
521,vicosa,-20.75,-42.88,16.67,95,25,0.56,BR,1592870482
522,jega,12.22,4.38,30.62,55,91,5.87,NG,1592870482
523,velsk,61.07,42.1,11.03,67,85,3.14,RU,1592870482
524,xique-xique,-10.82,-42.73,24.87,62,10,6.07,BR,1592870482
525,zyryanka,65.75,150.85,27.02,34,29,7.66,RU,1592870482
526,naze,28.37,129.48,26.0,83,40,9.3,JP,1592870482
527,simbahan,6.3,120.58,28.26,75,54,2.01,PH,1592870483
528,yeppoon,-23.13,150.73,17.0,42,0,0.5,AU,1592869916
529,caceres,39.52,-6.37,26.11,39,0,0.97,ES,1592870483
530,black diamond,47.31,-122.0,26.11,51,0,1.34,US,1592870465
531,gap,44.67,6.0,16.11,80,0,1.17,FR,1592870483
532,waitati,-45.75,170.57,7.22,76,10,4.47,NZ,1592870483
533,cabedelo,-6.98,-34.83,24.0,88,12,2.6,BR,1592870483
534,khomutovka,51.92,34.56,16.05,96,97,3.76,RU,1592870483
535,natal,-5.79,-35.21,24.0,83,87,4.1,BR,1592870286
536,longyearbyen,78.22,15.64,7.0,75,78,0.69,SJ,1592870484
537,mocuba,-16.84,36.99,17.95,93,85,1.65,MZ,1592869889
538,umm kaddadah,13.6,26.69,32.31,24,32,3.17,SD,1592870484
539,roberval,48.52,-72.23,23.0,73,75,4.6,CA,1592870469
540,tamandare,-8.76,-35.1,24.92,81,16,4.45,BR,1592870254
541,marica,-22.92,-42.82,25.0,57,40,4.1,BR,1592870484
542,kuryk,43.2,51.65,26.26,38,2,4.69,KZ,1592870484
543,cesis,57.31,25.27,16.11,80,2,1.98,LV,1592870484
544,channel-port aux basques,47.57,-59.14,13.36,96,91,3.6,CA,1592870485
545,palmer,42.16,-72.33,29.0,54,40,4.1,US,1592870421
546,robertsport,6.75,-11.37,25.61,86,96,4.94,LR,1592870485
547,alofi,-19.06,-169.92,28.0,74,75,3.1,NU,1592870485
548,tullahoma,35.36,-86.21,25.0,88,75,2.1,US,1592870485
549,sampit,-2.53,112.95,24.86,91,65,0.83,ID,1592870485
550,dargaville,-35.93,173.88,15.85,76,44,5.19,NZ,1592870485
551,kaitangata,-46.28,169.85,5.56,78,11,4.02,NZ,1592870485
552,la ronge,55.1,-105.28,24.0,33,40,4.1,CA,1592870215
553,nampula,-15.12,39.27,17.44,94,62,2.51,MZ,1592870485
554,takefu,35.9,136.17,23.0,78,20,2.1,JP,1592870486
555,cam ranh,11.92,109.16,28.0,83,20,0.5,VN,1592869920
556,diamantino,-14.41,-56.45,23.74,48,0,2.16,BR,1592870390
557,panguipulli,-39.63,-72.33,10.0,81,75,3.6,CL,1592870380
558,floresta,-8.6,-38.57,22.49,82,0,5.8,BR,1592870486
559,mount isa,-20.73,139.5,15.0,35,0,4.6,AU,1592870486
560,kudahuvadhoo,2.67,72.89,28.64,76,98,4.52,MV,1592870486
561,vostok,46.49,135.88,17.21,75,96,0.83,RU,1592870486
562,nyaunglebin,17.95,96.73,26.07,87,36,1.31,MM,1592870486
563,hit,33.64,42.83,28.08,17,0,3.11,IQ,1592869918
564,andreyevo,55.95,41.15,11.38,86,56,1.9,RU,1592870487
565,beloha,-25.17,45.05,16.79,97,10,2.36,MG,1592870487
566,lac du bonnet,50.25,-96.06,20.56,49,25,1.79,CA,1592870487
567,kenai,60.55,-151.26,16.11,54,1,6.7,US,1592870487
568,bang saphan,11.21,99.51,24.0,100,20,1.0,TH,1592870487
569,udachnyy,66.42,112.4,21.0,56,36,3.0,RU,1592870487
570,tete,-16.16,33.59,17.07,84,3,1.83,MZ,1592870419
571,yumen,40.28,97.2,21.7,21,25,2.14,CN,1592870487
572,davila,18.47,120.58,28.0,83,75,2.1,PH,1592870488
573,moron,-34.65,-58.62,15.0,93,100,1.79,AR,1592870488
574,port lincoln,-34.73,135.87,12.99,73,70,2.25,AU,1592870488
575,karratha,-20.74,116.85,20.91,36,0,2.94,AU,1592870475
576,cambridge,43.36,-80.31,25.0,69,90,1.5,CA,1592870386
577,nizhneangarsk,55.78,109.55,13.15,65,3,0.74,RU,1592870488
578,bogashevo,56.37,85.14,12.78,87,49,0.36,RU,1592870488
579,ashta,23.02,76.72,26.4,76,100,2.93,IN,1592870488
580,raisen,23.33,77.8,26.34,77,96,2.2,IN,1592870488
581,huntsville,34.73,-86.59,23.0,94,90,3.6,US,1592870277
582,yokadouma,3.52,15.05,20.39,93,5,0.42,CM,1592870489
583,strezhevoy,60.73,77.59,10.0,93,0,2.0,RU,1592870221
584,nuevitas,21.55,-77.26,29.0,83,97,5.1,CU,1592870489
585,mae chan,20.15,99.85,26.67,94,40,1.0,TH,1592870489
586,presidente medici,-11.18,-61.9,23.55,74,77,1.14,BR,1592870489
587,cristalina,-16.77,-47.61,13.68,63,53,2.02,BR,1592870489
588,sistranda,63.73,8.83,14.0,93,75,2.1,NO,1592870489
589,ginir,7.13,40.7,14.74,89,17,2.9,ET,1592870489
590,phalaborwa,-23.94,31.14,11.72,94,0,1.71,ZA,1592870489
591,bay saint louis,30.31,-89.33,28.0,69,40,5.7,US,1592870315
592,dabat,12.98,37.77,12.72,80,100,2.05,ET,1592870489
593,aksu,41.12,80.26,24.45,20,18,3.02,CN,1592869920
594,saint-prosper,46.21,-70.48,25.56,100,22,0.87,CA,1592870490
595,grand-santi,4.25,-54.38,23.43,95,96,0.88,GF,1592870490
596,acapulco,16.86,-99.89,31.0,66,75,4.1,MX,1592870408
597,rocha,-34.48,-54.33,13.93,91,89,4.49,UY,1592869895
598,mortka,59.33,66.02,6.35,83,56,2.05,RU,1592870490
